ID	DEDUP_SUFFIX
00238252-45244782-20051230-20241220-7500000	1e97a56a-5cf99de7
00238252-45244782-20051230-20241220-7500000	1e97a56a-a05ba67d
00238252-45244782-20051230-20241220-7500000	1e97a56a-ba2bbdf9
00238252-45244782-20051230-20241220-7500000	1e97a56a-bb49efd4
00244791-65050541-20220630-20311031-5000000	13612b38-72664f4c
00244791-65050541-20220630-20311031-5000000	13612b38-b91d08fe
00246492-44848943-20151118-20251010-2000000	bb28b807-296c762f
00246492-44848943-20151118-20251010-2000000	bb28b807-f815ad5d
00253081-65050541-20240702-20340630-5000000	13612b38-22f6ea32
00253081-65050541-20240702-20340630-5000000	13612b38-f8fc14ce
00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b
00261238-000000US-19950918-20250101-4847400	052b7f2a-ad1f4b17
00261238-000000US-19950918-20250101-4847400	72a93304-ad1f4b17
00261238-000000US-19950918-20250101-4847400	df62774b-ad1f4b17
00261238-000000US-19950918-20250918-4475200	052b7f2a-ad1f4b17
00261238-000000US-19950918-20250918-4475200	72a93304-ad1f4b17
00261238-000000US-19950918-20250918-4475200	df62774b-ad1f4b17
00261238-000000US-19950918-20250918-4523200	052b7f2a-ad1f4b17
00261238-000000US-19950918-20250918-4523200	72a93304-ad1f4b17
00261238-000000US-19950918-20250918-4523200	df62774b-ad1f4b17
00261734-70856788-20150611-20350515-2420000	fa015912-43023578
00261734-70856788-20150611-20350515-2420000	fa015912-5941bcc4
00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3
00281883-45317054-20210920-20340630-7750000	
00292788-00000111-20050628-20250420-290000	8db6c645-996b1f35
00292788-00000111-20050628-20250420-290000	9fd18fe8-996b1f35
00292788-00000111-20050628-20250420-290000	e3fd1550-996b1f35
00292788-00000111-20050628-20250420-290000	fdc7eb52-996b1f35
00296317-45317054-20150929-20300630-1069860	0baff4e5-06108f5b
00296317-45317054-20150929-20300630-1069860	0baff4e5-92295b18
00296317-45317054-20150929-20300630-1069860	0baff4e5-e208f321
00296317-45317054-20150929-20300630-1069860	0baff4e5-f3e2d92b
00296317-45317054-20150929-20300630-1109740	0baff4e5-4280fb05
00296317-45317054-20150929-20300630-1109740	0baff4e5-4bb1a012
00296317-45317054-20150929-20300630-1109740	0baff4e5-7989aa45
00296317-45317054-20150929-20300630-1109740	0baff4e5-cb1dd39f
00296317-45317054-20150929-20300630-1268340	0baff4e5-4a7f4b78
00296317-45317054-20150929-20300630-1268340	0baff4e5-5a2f6e8f
00296317-45317054-20150929-20300630-1268340	0baff4e5-87a4cf7c
00296317-45317054-20150929-20300630-1268340	0baff4e5-c152a8f0
00296635-00296635-20230131-20230131-0	8be47854-e821ba1e
00297046-00000111-20230214-20230214-0	b0a0b448-ade922d4
00297046-00000111-20240129-20240214-0	b0a0b448-ade922d4
00297054-25722328-20201209-20241208-408900	f06831d0-a10b9b32
00297054-25722328-20201209-20241208-408900	f06831d0-a515f1b0
00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084
00297585-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4
00297585-00000000-20231231-20231231-0	a3d2de76-4a7d1ed4
00297585-00000000-20241231-20241231-0	a3d2de76-4a7d1ed4
00297658-00000000-20221231-20221231-0	a3d2de76-cfcd2084
00297658-00000000-20231231-20231231-0	a3d2de76-cfcd2084
00298654-25083325-20120426-20331231-9000000	a3667e91-82816bbe
00298654-25083325-20120426-20331231-9000000	a3667e91-8eb55e42
00298654-45244782-20120426-20331231-9000000	1e97a56a-82816bbe
00298654-45244782-20120426-20331231-9000000	1e97a56a-8eb55e42
00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084
00300845-00000111-20230125-20230125-0	b0a0b448-19cbe994
00300845-00000111-20230125-20230125-0	b0a0b448-587dd522
00300845-00000111-20230125-20230125-0	b0a0b448-e5e0f443
00562424-00000000-20221231-20221231-0	a3d2de76-4a7d1ed4
00579874-45317054-20210610-20280531-5000000	0baff4e5-4aaad9fa
00579874-45317054-20210610-20280531-5000000	
00665169-45317054-20120328-20320131-4000000	0baff4e5-8c118f2a
00665169-45317054-20120328-20320131-4000000	0baff4e5-9f1c4a22
69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084
69609926-00000000-20241231-20241231-0	a3d2de76-cfcd2084
